"path","entropy","isSuspicious"
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/plexus-cipher-2.0.jar",7.7374,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-security-8.9.jar",7.83533,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-tooling-api-builders-8.9.jar",7.8914,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-plugins-java-8.9.jar",7.77574,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/maven-settings-builder-3.9.5.jar",7.7771,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/maven-settings-3.9.5.jar",7.91166,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/google-http-client-1.42.2.jar",7.88503,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-build-cache-http-8.9.jar",7.74506,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-ivy-8.9.jar",7.8157,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-diagnostics-8.9.jar",7.86863,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-plugins-distribution-8.9.jar",7.64405,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/junit-platform-commons-1.8.2.jar",7.8937,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-platform-base-8.9.jar",7.72701,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/google-http-client-apache-v2-1.42.2.jar",7.56038,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-language-java-8.9.jar",7.84644,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-flow-services-8.9.jar",7.83453,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/junit-platform-engine-1.8.2.jar",7.83723,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-plugins-java-library-8.9.jar",7.53687,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-test-kit-8.9.jar",7.76317,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-language-jvm-8.9.jar",7.63995,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-testing-junit-platform-8.9.jar",7.84229,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/bcutil-jdk18on-1.78.1.jar",7.81756,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/grpc-context-1.27.2.jar",7.88412,No
